4e7cd6fe	放弃	abandon	/əˈbændən/	v.	https://dict.youdao.com/dictvoice?type=2&audio=abandon	He abandoned his car in the snow.	他把车丢弃在雪地里。	a+band+on 一个乐队在上面(演出时被)放弃了	CET4 高频
5eeb8aaa	完成;实现	accomplish	/əˈkɑːmplɪʃ/	v.	https://dict.youdao.com/dictvoice?type=2&audio=accomplish	She accomplished her goal within a year.	她在一年内完成了目标。	ac(加强)+com(共同)+plish(填满)→全部填满→完成	CET4
78e15ad4	准确的	accurate	/ˈækjərət/	adj.	https://dict.youdao.com/dictvoice?type=2&audio=accurate	The report was accurate and detailed.	这份报告准确而详细。	ac(加强)+cur(关心)+ate→非常关心→准确的	CET4
21d5e9db	承认	acknowledge	/əkˈnɑːlɪdʒ/	v.	https://dict.youdao.com/dictvoice?type=2&audio=acknowledge	He acknowledged his mistake.	他承认了自己的错误。	ac+knowledge(知识)→承认知道→承认	CET4
34177acc	获得;习得	acquire	/əˈkwaɪər/	v.	https://dict.youdao.com/dictvoice?type=2&audio=acquire	She acquired a new skill.	她习得了一项新技能。	ac(加强)+quire(寻求)→不断寻求→获得	CET4
70faad78	适应	adapt	/əˈdæpt/	v.	https://dict.youdao.com/dictvoice?type=2&audio=adapt	You must adapt to the new environment.	你必须适应新环境。	ad(去)+apt(适合)→去适合→适应	CET4
1d54bbd0	足够的	adequate	/ˈædɪkwət/	adj.	https://dict.youdao.com/dictvoice?type=2&audio=adequate	The food supply is adequate.	食物供应充足。	ad+equ(相等)+ate→与需求相等→足够的	CET4
5cfc141a	调整	adjust	/əˈdʒʌst/	v.	https://dict.youdao.com/dictvoice?type=2&audio=adjust	Please adjust the volume.	请调整音量。	ad(去)+just(正确)→去弄正确→调整	CET4
681e6237	管理;执行	administer	/ədˈmɪnɪstər/	v.	https://dict.youdao.com/dictvoice?type=2&audio=administer	She administers the department.	她管理这个部门。	ad+minister(服务)→为...服务→管理	CET6
1e9c8736	钦佩;欣赏	admire	/ədˈmaɪər/	v.	https://dict.youdao.com/dictvoice?type=2&audio=admire	I admire her courage.	我钦佩她的勇气。	ad+mire(惊奇)→感到惊奇→钦佩	CET4
